27160_D5 1A
27160_R6 15
27160_D4 1-2
27160_R5 69A
27160_D1 29B
27160_R1 13A
27160_R3 25-9
27160_D2 69-12
27160_R2 10-8
27160_R12 31
27160_D4 59
27160_R4 38A
27160_D3 12
27160_R7 35-8
27160_D5 8
27160_R10 6A
27160_R9 23
27160_D2 1
27160_R2 19E
27160_R2 40
27160_R5 37A
27160_R4 9
27160_R9 17
27160_R10 11
27160_R5 UNK
27160_R4 45
27160_R4 24
27160_R10 3A
27160_D4 1-28
27160_R3 26
27160_R9 1
27160_R9 29A
27160_R10 43A
27160_R11 30
27160_R5 34
27160_R8 2
27160_R10 44A
27160_R11 14A
27160_R11 27
27160_D2 90-4
27160_R10 4B-4
27160_R10 42-1
27160_R3 35A
27160_D3 12-4
27160_R10 49
27160_R8 26
27160_R9 UNK
27160_R7 4A
27160_R11 8A
27160_R4 21
27160_D1 3B
27160_R7 12
27160_R6 25
27160_D1 10
27160_R5 23
27160_R3 38
27160_D5 22
27160_R5 30
27160_R4 7
27160_R11 29A
27160_D2 91
27160_R4 51G
27160_R1 9A
27160_R11 27B
27160_D3 17
27160_R11 27A
27160_D2 55
27160_R2 47
27160_D2 94
27160_R7 9A
27160_R6 30
27160_R6 2C
27160_D5 10
27160_D3 26
27160_D4 108
27160_R4 31
27160_D6 3
27160_R10 27
27160_R7 37
27160_D2 75
27160_R6 6
27160_R8 13
27160_D4 1-4
27160_R5 55
27160_D2 69-8
27160_D2 11
27160_R3 12
27160_R11 6A
27160_R2 43-5
27160_R7 20B
27160_D5 16
27160_R5 69-25
27160_R10 50B
27160_D2 69
27160_R4 53
27160_R1 25-16
27160_D2 86
27160_R12 21
27160_R9 48B
27160_D5 5-23
27160_R2 43-3
27160_R6 12B
27160_D4 19
27160_R2 8A
27160_R4 17A
27160_D2 66
27160_R11 5-2
27160_R5 6A
27160_R5 26
27160_D4 100A
27160_R3 31-9
27160_R1 25-15
27160_R2 10-10
27160_R3 15
27160_R4 28
27160_D2 88
27160_R10 47A
27160_R8 42
27160_R4 22A
27160_R5 46
27160_D4 97
27160_R2 43-4
27160_D4 2
27160_D2 41
27160_R6 17A
27160_R1 25-10
27160_R2 10-1
27160_R4 18
27160_D2 48A
27160_D2 8
27160_D4 71-2
27160_R9 44
27160_D5 5A
27160_R3 43
27160_D3 6
27160_R9 38
27160_R12 14
27160_D2 69-5
27160_R9 25-3
27160_D2 69-15
27160_R11 21
27160_R5 22
27160_R11 24
27160_R8 6A
27160_D1 35B
27160_R5 45
27160_R6 12C
27160_R7 35-6
27160_D4 62 & 63
27160_R11 2
27160_D2 69-2
27160_R8 44
27160_R1 25-8
27160_D4 1-16
27160_R2 52
27160_D4 72
27160_R2 19G
27160_R5 38
27160_R12 11
27160_D1 9
27160_R2 19C-2
27160_D4 1-19
27160_R6 13-5
27160_R1 1
27160_R7 27
27160_R6 26I
27160_R5 20
27160_R6 9-7
27160_R11 11B
27160_R3 4A
27160_R8 15A
27160_R9 16
27160_R5 69-20
