65-026-2-37-11-02-5 15-474-549500
65-018-2-39-11-32-1 03-000-001000
65-030-2-42-12-27-1 01-000-006000
65-034-2-39-12-22-5 15-104-501000
65-006-2-40-10-01-3 02-000-003000
65-010-2-38-10-12-3 03-000-002000
65-014-2-40-13-07-4 02-000-001000
65-022-2-42-11-13-1 03-000-001000
65-010-2-38-10-32-4 01-000-001000
65-010-2-38-10-19-5 15-132-506500
65-030-2-42-13-04-5 05-001-005000
65-281-2-39-12-30-5 15-632-811000
65-030-2-42-13-27-5 05-001-004000
65-012-2-40-12-03-3 03-000-002000
65-020-2-39-13-11-1 04-000-002000
65-030-2-42-12-02-3 01-000-001000
65-034-2-39-12-27-5 16-943-602500
65-004-2-38-13-09-3 02-000-001000
65-014-2-40-13-29-5 05-003-003000
65-006-2-40-10-31-2 02-000-002000
65-042-2-40-12-19-1 04-000-003000
65-030-2-42-13-05-5 05-002-004000
65-030-2-42-13-05-5 15-614-502500
65-014-2-40-13-31-1 03-000-001000
65-020-2-39-13-17-5 05-003-009000
65-282-2-38-13-36-5 15-012-573500
65-040-2-39-10-13-3 04-000-004000
65-018-2-39-11-10-4 02-000-001000
65-040-2-39-10-17-3 03-000-001000
65-010-2-38-10-20-1 04-000-001000
65-002-2-37-13-11-2 01-000-002000
65-030-2-42-13-27-5 05-004-012000
65-034-2-39-12-18-5 05-001-001000
65-030-2-42-13-01-4 04-000-009000
65-020-2-39-13-35-5 05-002-013000
65-008-2-38-12-14-1 04-000-001000
65-028-2-38-11-18-4 01-000-001000
65-004-2-38-13-35-5 15-427-508000
65-151-2-42-12-26-5 15-532-003010
65-014-2-40-13-06-3 01-000-001000
65-282-2-38-13-25-5 15-530-529000
65-014-2-40-13-19-5 05-001-008000
65-030-2-42-12-32-5 05-006-005000
65-038-2-41-10-21-2 04-000-001000
65-020-2-39-13-04-2 04-000-001000
65-042-2-40-12-34-5 15-754-500000
65-032-2-37-12-14-4 04-000-001300
65-010-2-38-10-06-5 05-010-001000
65-004-2-38-13-07-3 02-000-001000
65-030-2-42-13-35-5 15-406-503500
65-008-2-38-12-10-3 04-000-001000
65-018-2-39-11-11-2 01-000-001000
65-040-2-39-10-24-5 05-001-002010
65-042-2-40-12-28-4 02-000-004000
65-016-2-41-13-11-5 15-784-851800
65-034-2-39-12-21-5 15-266-502000
65-036-2-40-11-10-3 01-000-001000
65-042-2-40-12-33-1 02-000-001000
65-018-2-39-11-19-3 01-000-001000
65-032-2-37-12-09-3 01-000-001000
65-032-2-37-12-11-1 01-000-009000
65-016-2-41-13-20-1 02-000-001000
65-016-2-41-13-09-4 04-000-002500
65-010-2-38-10-20-5 15-270-511500
65-020-2-39-13-13-5 05-001-002000
65-281-2-39-12-30-5 15-140-667500
65-012-2-41-12-33-4 03-000-003000
65-008-2-38-12-06-5 05-008-004000
65-030-2-42-13-28-5 05-006-001000
65-014-2-40-13-14-5 05-002-010000
65-022-2-42-10-26-4 01-000-001000
65-006-2-40-10-33-4 03-000-001000
65-030-2-42-13-27-5 05-004-011000
65-016-2-41-12-17-1 04-000-001000
65-008-2-38-12-06-5 05-003-003000
65-030-2-42-13-17-5 15-628-507000
65-008-2-38-12-12-2 01-000-001000
65-004-2-38-13-20-2 03-000-002000
65-002-2-37-13-14-1 04-000-001000
65-008-2-38-12-06-5 05-008-013000
65-018-2-39-11-03-3 03-000-001000
65-004-2-38-13-33-4 01-000-001000
65-036-2-40-11-14-4 03-000-021000
65-030-2-42-12-28-5 05-004-001000
65-016-2-41-12-07-3 03-000-002010
65-026-2-37-11-09-5 05-003-009500
65-281-2-39-12-30-5 15-080-003020
65-281-2-39-12-31-5 15-048-813500
65-010-2-38-10-20-5 15-270-541500
65-012-2-40-12-09-4 01-000-001000
65-010-2-38-10-01-4 04-000-008000
65-030-2-42-13-24-2 03-000-001000
65-022-2-42-10-15-3 01-000-001000
65-020-2-39-13-20-2 03-000-002000
65-010-2-38-10-19-2 03-000-002000
65-014-2-40-13-07-1 04-000-001000
65-026-2-37-11-22-5 15-426-510500
65-282-2-37-13-01-5 15-362-500500
65-008-2-38-12-03-3 02-000-002000
65-012-2-40-12-09-2 02-000-001000
65-006-2-40-10-07-1 03-000-006000
65-026-2-37-11-35-4 02-000-001000
65-004-2-38-13-33-2 01-000-004000
65-036-2-40-11-21-3 04-000-002000
65-022-2-42-11-31-3 02-000-001000
65-010-2-37-10-19-4 01-000-001000
65-020-2-39-13-36-2 04-000-003000
65-032-2-37-12-31-4 01-000-001000
65-026-2-37-11-13-5 05-002-037000
65-282-2-38-13-26-1 03-000-005000
65-030-2-42-13-36-5 15-756-500000
65-036-2-40-11-14-5 15-672-507500
65-016-2-41-13-26-3 04-000-005000
65-281-2-39-12-31-5 15-044-764000
65-022-2-42-11-06-4 01-000-001000
65-016-2-41-13-01-5 05-001-016000
65-042-2-40-12-35-5 15-200-570000
65-032-2-37-12-15-3 03-000-002000
65-036-2-40-11-11-1 01-000-002010
65-002-2-37-13-19-4 02-000-001000
65-030-2-42-13-08-5 05-001-009000
65-012-2-41-12-10-4 02-000-001000
65-022-2-42-10-36-1 01-000-001000
65-030-2-42-13-08-4 03-000-007010
65-014-2-40-13-11-1 02-000-002000
65-004-2-38-13-09-1 04-000-007000
65-016-2-41-13-30-1 04-000-001000
65-024-2-41-11-28-5 05-003-011000
65-018-2-39-11-22-3 02-000-002000
65-042-2-40-12-21-1 04-000-004000
65-004-2-38-13-24-3 04-000-010000
65-016-2-41-13-10-3 03-000-001010
65-012-2-41-12-36-5 05-001-001000
65-042-2-40-12-17-2 02-000-001000
65-024-2-41-11-35-2 04-000-001000
65-036-2-40-11-09-2 04-000-002000
65-026-2-37-11-16-5 05-001-001000
65-028-2-38-11-15-3 03-000-001010
65-040-2-39-10-25-5 05-005-002000
65-014-2-40-13-17-5 05-005-006010
65-004-2-38-13-07-2 03-000-003000
65-026-2-37-11-03-5 05-003-002000
65-012-2-41-12-36-5 05-002-004000
65-038-2-41-10-24-1 03-000-001000
65-016-2-41-13-18-3 02-000-005000
65-036-2-40-11-34-1 04-000-005000
65-030-2-42-13-16-1 03-000-002000
65-008-2-38-12-02-5 05-003-007000
65-042-2-40-12-27-3 01-000-003000
65-281-2-39-12-32-5 15-594-512000
